Your Gender,Employment Type,Department,Years in Company,Individual Performance,Individual learning & capacity,Individual Psychological Effect,Team Performance,Team Creativity,Team Climate,Org - Learning&Innovation,Org - Business Process Efficiency,Knowledge Sharing
Female,Full Time,Engineering,1.0,5.0,3.8,4.0,4.0,3.0,4.5,4.0,4.0,3.75
Male,Full Time,Engineering,3.0,4.0,3.8,4.0,4.0,4.0,4.0,4.0,4.4,3.5
Female,Full Time,Engineering,1.0,3.25,3.0,3.25,3.0,3.0,3.5,3.0,3.0,3.0
Male,Full Time,Engineering,2.0,4.5,4.4,4.0,4.6,4.5,4.5,4.5,4.6,4.0
Female,Full Time,Marketing,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Female,Intern,Marketing,1.0,4.75,4.6,4.0,4.6,4.5,4.5,3.25,4.6,4.25
Male,Full Time,Engineering,0.583,4.0,4.4,4.5,5.0,5.0,5.0,4.25,5.0,5.0
Female,Full Time,Marketing,1.0,3.75,3.6,3.0,4.0,4.0,4.0,3.75,4.0,4.75
Female,Full Time,Administrative,3.0,3.25,2.8,2.5,4.0,4.0,4.25,4.25,4.0,5.0
Female,Full Time,Administrative,0.666,3.75,3.4,3.5,4.0,3.25,4.0,3.5,4.0,3.25
Male,Full Time,Engineering,2.5,4.0,4.0,3.25,5.0,4.0,4.0,4.25,4.0,3.75
Male,Full Time,Instructing,1.0,4.0,4.0,3.75,4.0,3.75,3.75,3.75,4.0,4.5
Female,Full Time,Administrative,1.0,3.25,3.2,2.75,4.0,3.0,3.75,3.25,4.0,4.25
Female,Full Time,Marketing,3.0,4.0,3.8,3.75,4.0,5.0,4.5,4.0,4.2,4.0
Female,Full Time,Administrative,0.083333,3.0,3.0,2.5,3.0,3.75,4.0,3.75,4.0,3.0
Female,Part Time,Instructing,0.5,4.5,4.2,4.5,4.4,4.75,4.25,4.25,4.6,4.5
Male,Part Time,Instructing,0.6,3.5,4.4,4.25,3.8,4.25,4.25,3.75,4.4,4.75
Male,Part Time,Instructing,0.33,3.75,3.8,3.5,4.0,3.5,4.75,3.75,4.2,3.75
Female,Full Time,Engineering,2.0,5.0,4.4,4.0,4.0,4.0,4.5,4.25,4.8,4.0
Female,Full Time,Instructing,0.16,3.25,3.0,3.75,3.0,3.0,4.0,3.25,3.0,2.25
Female,Part Time,Instructing,0.33,4.0,3.4,4.0,3.2,3.75,4.0,4.0,4.0,4.25
Male,Full Time,Instructing,1.0,4.0,3.8,4.25,3.6,4.0,4.0,3.75,4.2,5.0
Male,Part Time,Instructing,0.5,3.75,3.8,4.0,3.8,4.0,4.5,3.75,4.0,4.0
Male,Part Time,Instructing,0.416,4.0,4.0,3.75,3.6,4.0,5.0,3.5,4.2,4.0
Female,Intern,Engineering,0.5,4.25,3.0,3.75,3.8,4.0,4.0,4.75,5.0,3.75
Female,Part Time,Instructing,0.4167,4.0,3.6,4.0,4.4,4.0,5.0,4.0,4.0,5.0
Female,Part Time,Marketing,0.25,3.0,2.6,2.5,4.0,4.0,4.25,4.0,4.0,2.75
Female,Part Time,Instructing,0.167,5.0,4.2,4.0,4.0,3.75,4.0,4.75,4.2,4.5
Female,Part Time,Instructing,0.5,3.75,3.2,4.5,4.2,4.0,5.0,4.0,5.0,4.0
Female,Part Time,Instructing,0.5,4.0,3.4,3.75,5.0,4.0,4.25,3.5,4.0,4.25
Male,Part Time,Instructing,0.67,3.0,3.6,4.25,4.0,4.0,4.25,4.0,4.2,4.5
